id,title,release_year,runtime,rating,link
1,The Shawshank Redemption,1994,142,9.3,https://www.imdb.com//title/tt0111161/
2,The Godfather,1972,175,9.2,https://www.imdb.com//title/tt0068646/
3,The Dark Knight,2008,152,9.0,https://www.imdb.com//title/tt0468569/
4,The Godfather Part II,1974,202,9.0,https://www.imdb.com//title/tt0071562/
5,12 Angry Men,1957,96,9.0,https://www.imdb.com//title/tt0050083/
6,Schindler's List,1993,195,9.0,https://www.imdb.com//title/tt0108052/
7,The Lord of the Rings: The Return of the King,2003,201,9.0,https://www.imdb.com//title/tt0167260/
8,Pulp Fiction,1994,154,8.9,https://www.imdb.com//title/tt0110912/
9,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,https://www.imdb.com//title/tt0120737/
10,"The Good, the Bad and the Ugly",1966,178,8.8,https://www.imdb.com//title/tt0060196/
11,Forrest Gump,1994,142,8.8,https://www.imdb.com//title/tt0109830/
12,Fight Club,1999,139,8.8,https://www.imdb.com//title/tt0137523/
13,The Lord of the Rings: The Two Towers,2002,179,8.8,https://www.imdb.com//title/tt0167261/
14,Inception,2010,148,8.8,https://www.imdb.com//title/tt1375666/
15,Spider-Man: Across the Spider-Verse,2023,140,8.9,https://www.imdb.com//title/tt9362722/
16,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,https://www.imdb.com//title/tt0080684/
17,The Matrix,1999,136,8.7,https://www.imdb.com//title/tt0133093/
18,Goodfellas,1990,145,8.7,https://www.imdb.com//title/tt0099685/
19,One Flew Over the Cuckoo's Nest,1975,133,8.7,https://www.imdb.com//title/tt0073486/
20,Se7en,1995,127,8.6,https://www.imdb.com//title/tt0114369/
21,It's a Wonderful Life,1946,130,8.6,https://www.imdb.com//title/tt0038650/
22,Seven Samurai,1954,207,8.6,https://www.imdb.com//title/tt0047478/
23,Oppenheimer,2023,180,8.8,https://www.imdb.com//title/tt15398776/
24,The Silence of the Lambs,1991,118,8.6,https://www.imdb.com//title/tt0102926/
25,Interstellar,2014,169,8.7,https://www.imdb.com//title/tt0816692/
26,Saving Private Ryan,1998,169,8.6,https://www.imdb.com//title/tt0120815/
27,City of God,2002,130,8.6,https://www.imdb.com//title/tt0317248/
28,Life Is Beautiful,1997,116,8.6,https://www.imdb.com//title/tt0118799/
29,The Green Mile,1999,189,8.6,https://www.imdb.com//title/tt0120689/
30,Star Wars: Episode IV - A New Hope,1977,121,8.6,https://www.imdb.com//title/tt0076759/
31,Terminator 2: Judgment Day,1991,137,8.6,https://www.imdb.com//title/tt0103064/
32,Back to the Future,1985,116,8.5,https://www.imdb.com//title/tt0088763/
33,Spirited Away,2001,125,8.6,https://www.imdb.com//title/tt0245429/
34,The Pianist,2002,150,8.5,https://www.imdb.com//title/tt0253474/
35,Psycho,1960,109,8.5,https://www.imdb.com//title/tt0054215/
36,Parasite,2019,132,8.5,https://www.imdb.com//title/tt6751668/
37,Gladiator,2000,155,8.5,https://www.imdb.com//title/tt0172495/
38,The Lion King,1994,88,8.5,https://www.imdb.com//title/tt0110357/
39,Léon: The Professional,1994,110,8.5,https://www.imdb.com//title/tt0110413/
40,American History X,1998,119,8.5,https://www.imdb.com//title/tt0120586/
41,The Departed,2006,151,8.5,https://www.imdb.com//title/tt0407887/
42,Whiplash,2014,106,8.5,https://www.imdb.com//title/tt2582802/
43,The Prestige,2006,130,8.5,https://www.imdb.com//title/tt0482571/
44,The Usual Suspects,1995,106,8.5,https://www.imdb.com//title/tt0114814/
45,Casablanca,1942,102,8.5,https://www.imdb.com//title/tt0034583/
46,Grave of the Fireflies,1988,89,8.5,https://www.imdb.com//title/tt0095327/
47,Harakiri,1962,133,8.6,https://www.imdb.com//title/tt0056058/
48,The Intouchables,2011,112,8.5,https://www.imdb.com//title/tt1675434/
49,Modern Times,1936,87,8.5,https://www.imdb.com//title/tt0027977/
50,Cinema Paradiso,1988,155,8.5,https://www.imdb.com//title/tt0095765/
51,Once Upon a Time in the West,1968,165,8.5,https://www.imdb.com//title/tt0064116/
52,Rear Window,1954,112,8.5,https://www.imdb.com//title/tt0047396/
53,Alien,1979,117,8.5,https://www.imdb.com//title/tt0078748/
54,City Lights,1931,87,8.5,https://www.imdb.com//title/tt0021749/
55,Apocalypse Now,1979,147,8.4,https://www.imdb.com//title/tt0078788/
56,Memento,2000,113,8.4,https://www.imdb.com//title/tt0209144/
57,Django Unchained,2012,165,8.4,https://www.imdb.com//title/tt1853728/
58,Raiders of the Lost Ark,1981,115,8.4,https://www.imdb.com//title/tt0082971/
59,WALL·E,2008,98,8.4,https://www.imdb.com//title/tt0910970/
60,The Lives of Others,2006,137,8.4,https://www.imdb.com//title/tt0405094/
61,Sunset Blvd,1950,110,8.4,https://www.imdb.com//title/tt0043014/
62,Paths of Glory,1957,88,8.4,https://www.imdb.com//title/tt0050825/
63,Avengers: Infinity War,2018,149,8.4,https://www.imdb.com//title/tt4154756/
64,The Shining,1980,146,8.4,https://www.imdb.com//title/tt0081505/
65,The Great Dictator,1940,125,8.4,https://www.imdb.com//title/tt0032553/
66,Witness for the Prosecution,1957,116,8.4,https://www.imdb.com//title/tt0051201/
67,Spider-Man: Into the Spider-Verse,2018,117,8.4,https://www.imdb.com//title/tt4633694/
68,Aliens,1986,137,8.4,https://www.imdb.com//title/tt0090605/
69,American Beauty,1999,122,8.3,https://www.imdb.com//title/tt0169547/
70,The Dark Knight Rises,2012,164,8.4,https://www.imdb.com//title/tt1345836/
71,Dr,1964,95,8.4,https://www.imdb.com//title/tt0057012/
72,Inglourious Basterds,2009,153,8.3,https://www.imdb.com//title/tt0361748/
73,Oldboy,2003,120,8.4,https://www.imdb.com//title/tt0364569/
74,Coco,2017,105,8.4,https://www.imdb.com//title/tt2380307/
75,Amadeus,1984,160,8.4,https://www.imdb.com//title/tt0086879/
76,Toy Story,1995,81,8.3,https://www.imdb.com//title/tt0114709/
77,Braveheart,1995,178,8.3,https://www.imdb.com//title/tt0112573/
78,Das Boot,1981,149,8.4,https://www.imdb.com//title/tt0082096/
79,Joker,2019,122,8.4,https://www.imdb.com//title/tt7286456/
80,Avengers: Endgame,2019,181,8.4,https://www.imdb.com//title/tt4154796/
81,Princess Mononoke,1997,134,8.3,https://www.imdb.com//title/tt0119698/
82,Good Will Hunting,1997,126,8.3,https://www.imdb.com//title/tt0119217/
83,Once Upon a Time in America,1984,229,8.3,https://www.imdb.com//title/tt0087843/
84,Your Name,2016,106,8.4,https://www.imdb.com//title/tt5311514/
85,3 Idiots,2009,170,8.4,https://www.imdb.com//title/tt1187043/
86,Singin' in the Rain,1952,103,8.3,https://www.imdb.com//title/tt0045152/
87,High and Low,1963,143,8.4,https://www.imdb.com//title/tt0057565/
88,Requiem for a Dream,2000,102,8.3,https://www.imdb.com//title/tt0180093/
89,Capernaum,2018,126,8.4,https://www.imdb.com//title/tt8267604/
90,Toy Story 3,2010,103,8.3,https://www.imdb.com//title/tt0435761/
91,Come and See,1985,142,8.4,https://www.imdb.com//title/tt0091251/
92,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,https://www.imdb.com//title/tt0086190/
93,Eternal Sunshine of the Spotless Mind,2004,108,8.3,https://www.imdb.com//title/tt0338013/
94,2001: A Space Odyssey,1968,149,8.3,https://www.imdb.com//title/tt0062622/
95,The Hunt,2012,115,8.3,https://www.imdb.com//title/tt2106476/
96,Reservoir Dogs,1992,99,8.3,https://www.imdb.com//title/tt0105236/
97,Lawrence of Arabia,1962,218,8.3,https://www.imdb.com//title/tt0056172/
98,Ikiru,1952,143,8.3,https://www.imdb.com//title/tt0044741/
99,Citizen Kane,1941,119,8.3,https://www.imdb.com//title/tt0033467/
100,M,1931,99,8.3,https://www.imdb.com//title/tt0022100/
101,North by Northwest,1959,136,8.3,https://www.imdb.com//title/tt0053125/
102,The Apartment,1960,125,8.3,https://www.imdb.com//title/tt0053604/
103,Vertigo,1958,128,8.3,https://www.imdb.com//title/tt0052357/
104,Amélie,2001,122,8.3,https://www.imdb.com//title/tt0211915/
105,Double Indemnity,1944,107,8.3,https://www.imdb.com//title/tt0036775/
106,Full Metal Jacket,1987,116,8.3,https://www.imdb.com//title/tt0093058/
107,A Clockwork Orange,1971,136,8.3,https://www.imdb.com//title/tt0066921/
108,Scarface,1983,170,8.3,https://www.imdb.com//title/tt0086250/
109,Hamilton,2020,160,8.3,https://www.imdb.com//title/tt8503618/
110,Incendies,2010,131,8.3,https://www.imdb.com//title/tt1255953/
111,Heat,1995,170,8.3,https://www.imdb.com//title/tt0113277/
112,Up,2009,96,8.3,https://www.imdb.com//title/tt1049413/
113,To Kill a Mockingbird,1962,129,8.3,https://www.imdb.com//title/tt0056592/
114,The Sting,1973,129,8.3,https://www.imdb.com//title/tt0070735/
115,A Separation,2011,123,8.3,https://www.imdb.com//title/tt1832382/
116,Indiana Jones and the Last Crusade,1989,127,8.2,https://www.imdb.com//title/tt0097576/
117,Metropolis,1927,153,8.3,https://www.imdb.com//title/tt0017136/
118,Die Hard,1988,132,8.2,https://www.imdb.com//title/tt0095016/
119,L,1997,138,8.2,https://www.imdb.com//title/tt0119488/
120,Snatch,2000,102,8.2,https://www.imdb.com//title/tt0208092/
121,Bicycle Thieves,1948,89,8.3,https://www.imdb.com//title/tt0040522/
122,Like Stars on Earth,2007,165,8.3,https://www.imdb.com//title/tt0986264/
123,Taxi Driver,1976,114,8.2,https://www.imdb.com//title/tt0075314/
124,1917,2019,119,8.2,https://www.imdb.com//title/tt8579674/
125,Dangal,2016,161,8.3,https://www.imdb.com//title/tt5074352/
126,Downfall,2004,156,8.2,https://www.imdb.com//title/tt0363163/
127,Top Gun: Maverick,2022,130,8.3,https://www.imdb.com//title/tt1745960/
128,For a Few Dollars More,1965,132,8.2,https://www.imdb.com//title/tt0059578/
129,Batman Begins,2005,140,8.2,https://www.imdb.com//title/tt0372784/
130,The Kid,1921,68,8.3,https://www.imdb.com//title/tt0012349/
131,Some Like It Hot,1959,121,8.2,https://www.imdb.com//title/tt0053291/
132,The Father,2020,97,8.2,https://www.imdb.com//title/tt10272386/
133,The Wolf of Wall Street,2013,180,8.2,https://www.imdb.com//title/tt0993846/
134,Green Book,2018,130,8.2,https://www.imdb.com//title/tt6966692/
135,All About Eve,1950,138,8.2,https://www.imdb.com//title/tt0042192/
136,Judgment at Nuremberg,1961,179,8.3,https://www.imdb.com//title/tt0055031/
